Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.001653437502682209,0.001418400090187788,Actuator_High
actuator_only_0p02,20,0.0021649429108947515,0.0023971223272383213,Actuator_High
actuator_only_0p1,20,0.0029539884999394417,0.0035692942328751087,Actuator_High
state_only_0p01,20,0.007190002594143152,0.018753089010715485,Actuator_High
state_only_0p05,20,0.0013445437652990222,0.0008654327248223126,Actuator_High
baseline_clean,30,0.0018097322899848223,0.0017382241785526276,Actuator_High
actuator_only_0p02,30,0.0012968707596883178,0.001114626764319837,Actuator_High
actuator_only_0p1,30,0.003629822749644518,0.004742542281746864,Actuator_High
state_only_0p01,30,0.002927395049482584,0.00352079258300364,Actuator_High
state_only_0p05,30,0.0007807215442880988,0.00045939834672026336,Actuator_High
baseline_clean,40,0.0018703449750319123,0.001890143845230341,Actuator_High
actuator_only_0p02,40,0.0014138155383989215,0.0011317299213260412,Actuator_High
actuator_only_0p1,40,0.004440095741301775,0.0055350614711642265,Actuator_High
state_only_0p01,40,0.0029966835863888264,0.003814247902482748,Actuator_High
state_only_0p05,40,0.0007602741243317723,0.0005371433217078447,Actuator_High
baseline_clean,60,0.0026554276701062918,0.002852712059393525,Actuator_High
actuator_only_0p02,60,0.0016630551544949412,0.00128953717648983,Actuator_High
actuator_only_0p1,60,0.0054761930368840694,0.0064960066229105,Actuator_High
state_only_0p01,60,0.0031660336535423994,0.0040496354922652245,Actuator_High
state_only_0p05,60,0.0008352025761269033,0.000635874574072659,Actuator_High
baseline_clean,80,0.00449418043717742,0.004494844004511833,Actuator_High
actuator_only_0p02,80,0.0032810368575155735,0.001834084396250546,Actuator_High
actuator_only_0p1,80,0.006089409347623587,0.007351220585405827,Actuator_High
state_only_0p01,80,0.0032538753002882004,0.004116871859878302,Actuator_High
state_only_0p05,80,0.0010223134886473417,0.0007994103361852467,Actuator_High
baseline_clean,100,0.009809996001422405,0.009385599754750729,Actuator_High
actuator_only_0p02,100,0.009167502634227276,0.0075619034469127655,Actuator_High
actuator_only_0p1,100,0.010690698400139809,0.008603292517364025,Actuator_High
state_only_0p01,100,0.0035087447613477707,0.004260167945176363,Actuator_High
state_only_0p05,100,0.0011737928725779057,0.0009034225367940962,Actuator_High
