Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0015756391221657395,0.0014202217571437359,Actuator_Low
actuator_only_0p02,20,0.002130444860085845,0.002361769089475274,Actuator_Low
actuator_only_0p1,20,0.0029548341408371925,0.00348676647990942,Actuator_Low
state_only_0p01,20,0.0072214193642139435,0.019175520166754723,Actuator_Low
state_only_0p05,20,0.001295749214477837,0.000917001161724329,Actuator_Low
baseline_clean,30,0.0017034374177455902,0.0016810009256005287,Actuator_Low
actuator_only_0p02,30,0.0013451346894726157,0.0011147642508149147,Actuator_Low
actuator_only_0p1,30,0.0037446566857397556,0.0047308579087257385,Actuator_Low
state_only_0p01,30,0.003072350053116679,0.003497606609016657,Actuator_Low
state_only_0p05,30,0.0007609697058796883,0.0004768317157868296,Actuator_Low
baseline_clean,40,0.001878237584605813,0.0018894419772550464,Actuator_Low
actuator_only_0p02,40,0.0013853504788130522,0.0010765043552964926,Actuator_Low
actuator_only_0p1,40,0.004433825146406889,0.005535370670258999,Actuator_Low
state_only_0p01,40,0.0029833714943379164,0.0038156479131430387,Actuator_Low
state_only_0p05,40,0.0007449486874975264,0.0005011787288822234,Actuator_Low
baseline_clean,60,0.0026530527975410223,0.0025472950655966997,Actuator_Low
actuator_only_0p02,60,0.0016329288482666016,0.0013444469077512622,Actuator_Low
actuator_only_0p1,60,0.005392578896135092,0.00637565553188324,Actuator_Low
state_only_0p01,60,0.003154996782541275,0.004035945516079664,Actuator_Low
state_only_0p05,60,0.0007972619496285915,0.0006212751613929868,Actuator_Low
baseline_clean,80,0.004660679493099451,0.0058518354780972,Actuator_Low
actuator_only_0p02,80,0.00401979498565197,0.0018441318534314632,Actuator_Low
actuator_only_0p1,80,0.0061585307121276855,0.007485969923436642,Actuator_Low
state_only_0p01,80,0.003313995897769928,0.0041339765302836895,Actuator_Low
state_only_0p05,80,0.0009344755089841783,0.0007501873769797385,Actuator_Low
baseline_clean,100,0.008863136172294617,0.00852919090539217,Actuator_Low
actuator_only_0p02,100,0.011240771040320396,0.00870609749108553,Actuator_Low
actuator_only_0p1,100,0.009382716380059719,0.008026211522519588,Actuator_Low
state_only_0p01,100,0.003482084721326828,0.004225375596433878,Actuator_Low
state_only_0p05,100,0.0010918047046288848,0.000861062144394964,Actuator_Low
