Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0015865423483774066,0.0014200564473867416,Actuator_Mid
actuator_only_0p02,20,0.0021367790177464485,0.0023685290943831205,Actuator_Mid
actuator_only_0p1,20,0.0029555479995906353,0.0035009796265512705,Actuator_Mid
state_only_0p01,20,0.00722111901268363,0.019125157967209816,Actuator_Mid
state_only_0p05,20,0.0013025229563936591,0.0009083693148568273,Actuator_Mid
baseline_clean,30,0.0017223252216354012,0.0016912377905100584,Actuator_Mid
actuator_only_0p02,30,0.0013370828237384558,0.0011143807787448168,Actuator_Mid
actuator_only_0p1,30,0.0037271769251674414,0.004730848595499992,Actuator_Mid
state_only_0p01,30,0.0028907733503729105,0.003458985360339284,Actuator_Mid
state_only_0p05,30,0.0007630462059751153,0.0004734325048048049,Actuator_Mid
baseline_clean,40,0.00187793024815619,0.0018904035678133368,Actuator_Mid
actuator_only_0p02,40,0.0013915881281718612,0.001086552394554019,Actuator_Mid
actuator_only_0p1,40,0.004437593277543783,0.0055365655571222305,Actuator_Mid
state_only_0p01,40,0.002985910279676318,0.0038155659567564726,Actuator_Mid
state_only_0p05,40,0.0007457262836396694,0.0005061700940132141,Actuator_Mid
baseline_clean,60,0.002625995082780719,0.002613507444038987,Actuator_Mid
actuator_only_0p02,60,0.0015920225996524096,0.0013305452885106206,Actuator_Mid
actuator_only_0p1,60,0.005400027614086866,0.006388184614479542,Actuator_Mid
state_only_0p01,60,0.0031575688626617193,0.004039566032588482,Actuator_Mid
state_only_0p05,60,0.0008028303273022175,0.0006233457243070006,Actuator_Mid
baseline_clean,80,0.005276656709611416,0.005781406071037054,Actuator_Mid
actuator_only_0p02,80,0.005869192536920309,0.005406593903899193,Actuator_Mid
actuator_only_0p1,80,0.005852228961884975,0.007169330958276987,Actuator_Mid
state_only_0p01,80,0.003304331097751856,0.00413215858861804,Actuator_Mid
state_only_0p05,80,0.0009475230472162366,0.0007574621704407036,Actuator_Mid
baseline_clean,100,0.007744935806840658,0.007552805822342634,Actuator_Mid
actuator_only_0p02,100,0.009796731173992157,0.010822287760674953,Actuator_Mid
actuator_only_0p1,100,0.012542545795440674,0.01395504828542471,Actuator_Mid
state_only_0p01,100,0.003487206995487213,0.0042320191860198975,Actuator_Mid
state_only_0p05,100,0.0011051028268411756,0.0008676218567416072,Actuator_Mid
