Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.015339701436460018,0.0035585081204771996,Combined_High
actuator_only_0p02,20,0.011002713814377785,0.0025012854021042585,Combined_High
actuator_only_0p1,20,0.019312215968966484,0.005201066844165325,Combined_High
state_only_0p01,20,0.020882517099380493,0.013242585584521294,Combined_High
state_only_0p05,20,0.007806773763149977,0.003274156479164958,Combined_High
baseline_clean,30,0.01823016069829464,0.004092838149517775,Combined_High
actuator_only_0p02,30,0.011046680621802807,0.0018256647745147347,Combined_High
actuator_only_0p1,30,0.022633444517850876,0.0053499904461205006,Combined_High
state_only_0p01,30,0.022863078862428665,0.012675517238676548,Combined_High
state_only_0p05,30,0.008994027972221375,0.0034348818007856607,Combined_High
baseline_clean,40,0.0206743236631155,0.005303038749843836,Combined_High
actuator_only_0p02,40,0.012130810879170895,0.0019530534045770764,Combined_High
actuator_only_0p1,40,0.024630004540085793,0.005243503488600254,Combined_High
state_only_0p01,40,0.02414564974606037,0.013018338941037655,Combined_High
state_only_0p05,40,0.009545981884002686,0.0034701060503721237,Combined_High
baseline_clean,60,0.02421003393828869,0.007754375226795673,Combined_High
actuator_only_0p02,60,0.01485507469624281,0.0025703548453748226,Combined_High
actuator_only_0p1,60,0.027639595791697502,0.006183166056871414,Combined_High
state_only_0p01,60,0.025783825665712357,0.014201742596924305,Combined_High
state_only_0p05,60,0.010805364698171616,0.004293358419090509,Combined_High
baseline_clean,80,0.02868015505373478,0.012395506724715233,Combined_High
actuator_only_0p02,80,0.014948255382478237,0.002453874796628952,Combined_High
actuator_only_0p1,80,0.028626440092921257,0.005937956273555756,Combined_High
state_only_0p01,80,0.02681242860853672,0.015974048525094986,Combined_High
state_only_0p05,80,0.01220640353858471,0.004994354210793972,Combined_High
baseline_clean,100,0.03051065467298031,0.014951895922422409,Combined_High
actuator_only_0p02,100,0.015181603841483593,0.002729759318754077,Combined_High
actuator_only_0p1,100,0.028301773592829704,0.006055264268070459,Combined_High
state_only_0p01,100,0.026395881548523903,0.01685749739408493,Combined_High
state_only_0p05,100,0.012711039744317532,0.0054281121119856834,Combined_High
