Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.001459963503293693,0.0013443281641229987,Combined_Low
actuator_only_0p02,20,0.0019286908209323883,0.002168661914765835,Combined_Low
actuator_only_0p1,20,0.0028822440654039383,0.0035165215376764536,Combined_Low
state_only_0p01,20,0.007145585026592016,0.018874621018767357,Combined_Low
state_only_0p05,20,0.0012903737369924784,0.0009181256755255163,Combined_Low
baseline_clean,30,0.001528288470581174,0.0015375626971945167,Combined_Low
actuator_only_0p02,30,0.0011012773029506207,0.0010164991253986955,Combined_Low
actuator_only_0p1,30,0.003320119110867381,0.004593797959387302,Combined_Low
state_only_0p01,30,0.002902896609157324,0.003430402372032404,Combined_Low
state_only_0p05,30,0.0007542130770161748,0.00048057868843898177,Combined_Low
baseline_clean,40,0.0016868632519617677,0.0017055742209777236,Combined_Low
actuator_only_0p02,40,0.0010058823972940445,0.0008072445634752512,Combined_Low
actuator_only_0p1,40,0.0037700310349464417,0.0052742743864655495,Combined_Low
state_only_0p01,40,0.0029889321886003017,0.0038002985529601574,Combined_Low
state_only_0p05,40,0.0007378066657111049,0.0005087984027341008,Combined_Low
baseline_clean,60,0.003055512672290206,0.002481569303199649,Combined_Low
actuator_only_0p02,60,0.0009676459594629705,0.0007990311714820564,Combined_Low
actuator_only_0p1,60,0.004559987690299749,0.006203248631209135,Combined_Low
state_only_0p01,60,0.0031417568679898977,0.004004971589893103,Combined_Low
state_only_0p05,60,0.000794368505012244,0.0006299719680100679,Combined_Low
baseline_clean,80,0.00547606498003006,0.005289400462061167,Combined_Low
actuator_only_0p02,80,0.0026422378141433,0.002274145605042577,Combined_Low
actuator_only_0p1,80,0.0055199540220201015,0.006667626556009054,Combined_Low
state_only_0p01,80,0.0032693413086235523,0.0040838634595274925,Combined_Low
state_only_0p05,80,0.0009359113173559308,0.000760326802264899,Combined_Low
baseline_clean,100,0.00854884460568428,0.007096168119460344,Combined_Low
actuator_only_0p02,100,0.007193721830844879,0.007415430620312691,Combined_Low
actuator_only_0p1,100,0.009284449741244316,0.008245655335485935,Combined_Low
state_only_0p01,100,0.0033906379248946905,0.004163313191384077,Combined_Low
state_only_0p05,100,0.001095311832614243,0.0008747418760322034,Combined_Low
