Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0016322629526257515,0.0007819379679858685,Combined_Mid
actuator_only_0p02,20,0.0017139818519353867,0.0016477665631100535,Combined_Mid
actuator_only_0p1,20,0.004115208517760038,0.003716098377481103,Combined_Mid
state_only_0p01,20,0.003299807896837592,0.00339541956782341,Combined_Mid
state_only_0p05,20,0.0013796058483421803,0.001047481200657785,Combined_Mid
baseline_clean,30,0.001987022813409567,0.0007080113864503801,Combined_Mid
actuator_only_0p02,30,0.0012353620259091258,0.0006776541122235358,Combined_Mid
actuator_only_0p1,30,0.004273125436156988,0.004197743721306324,Combined_Mid
state_only_0p01,30,0.0033482275903224945,0.0035177432000637054,Combined_Mid
state_only_0p05,30,0.0008609739015810192,0.0006094213458709419,Combined_Mid
baseline_clean,40,0.0026793424040079117,0.000990307773463428,Combined_Mid
actuator_only_0p02,40,0.0012369125615805387,0.0004316542181186378,Combined_Mid
actuator_only_0p1,40,0.004389463923871517,0.004551741760224104,Combined_Mid
state_only_0p01,40,0.0034879071172326803,0.0038500051014125347,Combined_Mid
state_only_0p05,40,0.0008449092856608331,0.000616729783359915,Combined_Mid
baseline_clean,60,0.004380572587251663,0.0015397636452689767,Combined_Mid
actuator_only_0p02,60,0.0014916405780240893,0.0007850554538890719,Combined_Mid
actuator_only_0p1,60,0.0048789456486701965,0.0051981364376842976,Combined_Mid
state_only_0p01,60,0.00384295335970819,0.003854673355817795,Combined_Mid
state_only_0p05,60,0.0008969303453341126,0.0006998999742791057,Combined_Mid
baseline_clean,80,0.006011962424963713,0.003618704155087471,Combined_Mid
actuator_only_0p02,80,0.0024012348148971796,0.0013809436932206154,Combined_Mid
actuator_only_0p1,80,0.006087404675781727,0.00567072257399559,Combined_Mid
state_only_0p01,80,0.004470592364668846,0.003678988665342331,Combined_Mid
state_only_0p05,80,0.001045000390149653,0.0008466563886031508,Combined_Mid
baseline_clean,100,0.009420936927199364,0.005834405310451984,Combined_Mid
actuator_only_0p02,100,0.00482122553512454,0.002375530544668436,Combined_Mid
actuator_only_0p1,100,0.00937820877879858,0.005259034689515829,Combined_Mid
state_only_0p01,100,0.006202136166393757,0.0035209162160754204,Combined_Mid
state_only_0p05,100,0.0011880247620865703,0.0009772201301530004,Combined_Mid
