Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.015206768177449703,0.0035525839775800705,State_High
actuator_only_0p02,20,0.010809025727212429,0.0024628418032079935,State_High
actuator_only_0p1,20,0.019497696310281754,0.005273228045552969,State_High
state_only_0p01,20,0.021005596965551376,0.013251889497041702,State_High
state_only_0p05,20,0.007961859926581383,0.0033207442611455917,State_High
baseline_clean,30,0.018004177138209343,0.00402394263073802,State_High
actuator_only_0p02,30,0.01102843601256609,0.0018074922263622284,State_High
actuator_only_0p1,30,0.022529643028974533,0.005428120028227568,State_High
state_only_0p01,30,0.02271757833659649,0.012649091891944408,State_High
state_only_0p05,30,0.008857335895299911,0.003395135048776865,State_High
baseline_clean,40,0.020426668226718903,0.005189927294850349,State_High
actuator_only_0p02,40,0.012050982564687729,0.0019660042598843575,State_High
actuator_only_0p1,40,0.02440211921930313,0.005267409607768059,State_High
state_only_0p01,40,0.024017080664634705,0.01291192788630724,State_High
state_only_0p05,40,0.009486673399806023,0.003495322074741125,State_High
baseline_clean,60,0.024645647034049034,0.008098321035504341,State_High
actuator_only_0p02,60,0.014424015767872334,0.002417568117380142,State_High
actuator_only_0p1,60,0.027609020471572876,0.005994117818772793,State_High
state_only_0p01,60,0.025793397799134254,0.01417302992194891,State_High
state_only_0p05,60,0.010698015801608562,0.004188245628029108,State_High
baseline_clean,80,0.02801736630499363,0.011844991706311703,State_High
actuator_only_0p02,80,0.014761420898139477,0.0025026563089340925,State_High
actuator_only_0p1,80,0.028636014088988304,0.005721000023186207,State_High
state_only_0p01,80,0.026482244953513145,0.015801530331373215,State_High
state_only_0p05,80,0.011690573766827583,0.004868406802415848,State_High
baseline_clean,100,0.030608778819441795,0.015085590071976185,State_High
actuator_only_0p02,100,0.015178351663053036,0.0026129852049052715,State_High
actuator_only_0p1,100,0.028525540605187416,0.005919079761952162,State_High
state_only_0p01,100,0.026274358853697777,0.01692293770611286,State_High
state_only_0p05,100,0.012461734004318714,0.005401702132076025,State_High
