Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0014574035303667188,0.0013443970819935203,State_Low
actuator_only_0p02,20,0.001927026198245585,0.002167538506910205,State_Low
actuator_only_0p1,20,0.0028822130989283323,0.003513323375955224,State_Low
state_only_0p01,20,0.007146303541958332,0.01889091543853283,State_Low
state_only_0p05,20,0.0012889317004010081,0.0009202691726386547,State_Low
baseline_clean,30,0.0015251652803272009,0.0015356482472270727,State_Low
actuator_only_0p02,30,0.0011020972160622478,0.0010160806123167276,State_Low
actuator_only_0p1,30,0.0033231698907911777,0.004591247998178005,State_Low
state_only_0p01,30,0.002926439046859741,0.003424199763685465,State_Low
state_only_0p05,30,0.0007538357749581337,0.000481523311464116,State_Low
baseline_clean,40,0.0016856627771630883,0.0017045177519321442,State_Low
actuator_only_0p02,40,0.001004738500341773,0.0008050040923990309,State_Low
actuator_only_0p1,40,0.0037697304505854845,0.005274027120321989,State_Low
state_only_0p01,40,0.002988011110574007,0.0038001597858965397,State_Low
state_only_0p05,40,0.0007375315180979669,0.0005076120723970234,State_Low
baseline_clean,60,0.002886106027290225,0.0025025063659995794,State_Low
actuator_only_0p02,60,0.0009658284834586084,0.0007963060052134097,State_Low
actuator_only_0p1,60,0.004556240048259497,0.006196931935846806,State_Low
state_only_0p01,60,0.0031405948102474213,0.004004024900496006,State_Low
state_only_0p05,60,0.0007931062136776745,0.0006294702761806548,State_Low
baseline_clean,80,0.0037844404578208923,0.0020936764776706696,State_Low
actuator_only_0p02,80,0.0017776452004909515,0.00097742211073637,State_Low
actuator_only_0p1,80,0.005440786015242338,0.006645043846219778,State_Low
state_only_0p01,80,0.003270598128437996,0.00408413028344512,State_Low
state_only_0p05,80,0.0009326880099251866,0.0007584659033454955,State_Low
baseline_clean,100,0.009592588059604168,0.007782362401485443,State_Low
actuator_only_0p02,100,0.006757419556379318,0.005982827860862017,State_Low
actuator_only_0p1,100,0.00912351906299591,0.007382512558251619,State_Low
state_only_0p01,100,0.003388738026842475,0.004161939024925232,State_Low
state_only_0p05,100,0.0010919690830633044,0.0008731262059882283,State_Low
