Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0016218560049310327,0.0007785867201164365,State_Mid
actuator_only_0p02,20,0.0017081868136301637,0.0016473791329190135,State_Mid
actuator_only_0p1,20,0.004121434409171343,0.00371691701002419,State_Mid
state_only_0p01,20,0.0032861779909580946,0.0033835838548839092,State_Mid
state_only_0p05,20,0.0013802996836602688,0.0010586823336780071,State_Mid
baseline_clean,30,0.0019828311633318663,0.0007035995949991047,State_Mid
actuator_only_0p02,30,0.001225133310072124,0.0006695285555906594,State_Mid
actuator_only_0p1,30,0.004266031552106142,0.00418500741943717,State_Mid
state_only_0p01,30,0.0033364237751811743,0.003498012199997902,State_Mid
state_only_0p05,30,0.00085822882829234,0.0006146508385427296,State_Mid
baseline_clean,40,0.0026782071217894554,0.0009934486588463187,State_Mid
actuator_only_0p02,40,0.0012343713315203786,0.0004315490077715367,State_Mid
actuator_only_0p1,40,0.004388831090182066,0.004546124953776598,State_Mid
state_only_0p01,40,0.003486695233732462,0.0038479138165712357,State_Mid
state_only_0p05,40,0.0008336783503182232,0.0006079156883060932,State_Mid
baseline_clean,60,0.004366678651422262,0.0015277372440323234,State_Mid
actuator_only_0p02,60,0.0014981304993852973,0.0007783578475937247,State_Mid
actuator_only_0p1,60,0.004874282516539097,0.005175725091248751,State_Mid
state_only_0p01,60,0.003839382901787758,0.0038476770278066397,State_Mid
state_only_0p05,60,0.0008903421694412827,0.000696764444001019,State_Mid
baseline_clean,80,0.005309577099978924,0.0035549087915569544,State_Mid
actuator_only_0p02,80,0.0023631593212485313,0.0013790256343781948,State_Mid
actuator_only_0p1,80,0.006092637311667204,0.005636358633637428,State_Mid
state_only_0p01,80,0.00448311772197485,0.0036746433470398188,State_Mid
state_only_0p05,80,0.0010190956527367234,0.0008295488660223782,State_Mid
baseline_clean,100,0.009616552852094173,0.005488112103193998,State_Mid
actuator_only_0p02,100,0.0045872959308326244,0.003341059200465679,State_Mid
actuator_only_0p1,100,0.008566583506762981,0.005685335490852594,State_Mid
state_only_0p01,100,0.006173970177769661,0.003501173574477434,State_Mid
state_only_0p05,100,0.0011671551037579775,0.0009675731998868287,State_Mid
