Model,Agents,MSE,Std,Scenario
baseline,20,0.003214842639863491,0.00947472546249628,u0.0_z0.0
low_noise,20,0.0005806564004160464,0.0003974380379077047,u0.0_z0.0
medium_noise,20,0.0010584174888208508,0.000994803966023028,u0.0_z0.0
high_noise,20,0.011290921829640865,0.02042168378829956,u0.0_z0.0
baseline,30,0.003046560799703002,0.009296666830778122,u0.0_z0.0
low_noise,30,0.00045143821625970304,0.0003282899269834161,u0.0_z0.0
medium_noise,30,0.0006020832806825638,0.0004911604337394238,u0.0_z0.0
high_noise,30,0.008608374744653702,0.009932284243404865,u0.0_z0.0
baseline,60,0.004421422258019447,0.009552288800477982,u0.0_z0.0
low_noise,60,0.0004951892187818885,0.0004695564566645771,u0.0_z0.0
medium_noise,60,0.0007795007550157607,0.0005939483526162803,u0.0_z0.0
high_noise,60,0.009365790523588657,0.007538183592259884,u0.0_z0.0
baseline,100,0.014517282135784626,0.010908636264503002,u0.0_z0.0
low_noise,100,0.0006662459345534444,0.0006842863513156772,u0.0_z0.0
medium_noise,100,0.0012575655709952116,0.0009655622416175902,u0.0_z0.0
high_noise,100,0.011374074965715408,0.008607274852693081,u0.0_z0.0
