lambda,n_agents,mse,total_effort_sq,total_effort_abs,window
0.05,15,0.0005238484591245651,0.7378249764442444,2.502927541732788,Last 70%
0.05,20,0.00031644312548451126,0.5556260943412781,2.5646724700927734,Last 70%
0.05,30,0.00010853068670257926,0.4848257303237915,2.8124547004699707,Last 70%
0.05,40,5.592216984950937e-05,0.43669283390045166,3.0496368408203125,Last 70%
0.05,50,6.286584539338946e-05,0.3885268568992615,3.196829319000244,Last 70%
0.05,60,5.779555795015767e-05,0.34852537512779236,3.3037943840026855,Last 70%
0.1,15,0.0005097816465422511,0.8274010419845581,2.3976080417633057,Last 70%
0.1,20,0.0005073627107776701,0.5430076718330383,2.3461554050445557,Last 70%
0.1,30,0.0003399118722882122,0.3852826952934265,2.4218711853027344,Last 70%
0.1,40,0.0002665070060174912,0.36293846368789673,2.6278774738311768,Last 70%
0.1,50,0.00024103639589156955,0.3605990707874298,2.87907075881958,Last 70%
0.1,60,0.00023509704624302685,0.350448876619339,3.0819685459136963,Last 70%
0.5,15,0.010440411046147346,0.7013337016105652,2.2538466453552246,Last 70%
0.5,20,0.007845966145396233,0.5720829367637634,2.3845818042755127,Last 70%
0.5,30,0.003329179249703884,0.5280663371086121,2.66015625,Last 70%
0.5,40,0.0017952006310224533,0.39515480399131775,2.644657850265503,Last 70%
0.5,50,0.0009205608512274921,0.3234472870826721,2.6834053993225098,Last 70%
0.5,60,0.0007774893892928958,0.2548361122608185,2.6603894233703613,Last 70%
1.0,15,0.006120557431131601,0.7002733945846558,2.614044189453125,Last 70%
1.0,20,0.0035338043235242367,0.7344485521316528,2.989471912384033,Last 70%
1.0,30,0.002354177413508296,0.6015213131904602,3.1547863483428955,Last 70%
1.0,40,0.0023147310130298138,0.4592134952545166,3.049377202987671,Last 70%
1.0,50,0.002395746996626258,0.34785085916519165,2.92118501663208,Last 70%
1.0,60,0.002459022682160139,0.26946040987968445,2.82368803024292,Last 70%
