n_agents,mse,u_effort
10,0.00014203976024873555,864.4698486328125
11,3.072356776101515e-05,854.8348999023438
12,5.765613605035469e-05,848.1566772460938
13,4.737593189929612e-05,870.7835083007812
14,5.431653335108422e-05,853.6469116210938
15,2.5193634428433143e-05,854.400390625
16,1.1933939276786987e-05,858.3590087890625
17,1.8815168004948646e-05,854.6715698242188
18,8.73131284606643e-06,857.591796875
19,1.4418316823139321e-05,853.68017578125
20,1.0077510523842648e-05,853.4187622070312
25,6.109147761890199e-06,855.8310546875
30,4.885083853878314e-06,858.9871826171875
35,4.184533281659242e-06,859.9609375
40,4.321718733990565e-06,862.406005859375
45,4.567449650494382e-06,862.7705078125
50,4.77379398944322e-06,862.1121826171875
55,5.107754077471327e-06,864.4059448242188
60,5.308090749167604e-06,860.5088500976562
