Model,Agents,Sum_Sq,Sum_Abs
Baseline,20,1.9489145278930664,4.437157154083252
Low Noise,20,1.5574235916137695,3.7666919231414795
Baseline,30,1.4715420007705688,4.563798904418945
Low Noise,30,1.3087114095687866,4.254836082458496
Baseline,40,1.5089789628982544,5.230415344238281
Low Noise,40,1.1866109371185303,4.709056854248047
Baseline,50,97.30794525146484,24.91396141052246
Low Noise,50,1.0872015953063965,5.107316970825195
Baseline,60,846.9320068359375,124.63377380371094
Low Noise,60,1.028035283088684,5.523066997528076
Baseline,70,1771.55517578125,223.8430938720703
Low Noise,70,0.996641993522644,5.93436336517334
Baseline,80,3027.98779296875,359.7436828613281
Low Noise,80,0.9838351607322693,6.357779026031494
Baseline,90,4729.86669921875,517.850830078125
Low Noise,90,0.9887634515762329,6.821041107177734
Baseline,100,6536.89208984375,665.6489868164062
Low Noise,100,1.007686972618103,7.300482749938965
Baseline,110,8528.5341796875,818.5714721679688
Low Noise,110,217.32701110839844,48.60053634643555
Baseline,120,10267.7470703125,953.65869140625
Low Noise,120,1303.8050537109375,220.6494140625
Baseline,130,12348.3857421875,1108.4178466796875
Low Noise,130,2618.04052734375,386.89990234375
Baseline,140,15103.263671875,1301.0137939453125
Low Noise,140,4643.05224609375,599.4418334960938
Baseline,150,17389.95703125,1457.546142578125
Low Noise,150,6917.42919921875,790.3493041992188
Baseline,160,19719.234375,1613.22998046875
Low Noise,160,9231.2451171875,964.3795776367188
Baseline,170,22063.77734375,1768.3975830078125
Low Noise,170,11988.09765625,1169.0084228515625
Baseline,180,24543.267578125,1927.9033203125
Low Noise,180,14524.8447265625,1349.8525390625
Baseline,190,27229.6015625,2093.35498046875
Low Noise,190,17057.248046875,1524.8919677734375
Baseline,200,30032.205078125,2258.221923828125
Low Noise,200,18737.072265625,1635.0848388671875
