Sensor Range,Agents,MSE,Std
0.04,20,0.000800136593170464,0.0004914295859634876
0.04,40,0.0001394194841850549,9.706942364573479e-05
0.04,60,7.813656702637672e-05,3.958140223403461e-05
0.04,80,7.437490421580151e-05,3.171000207657926e-05
0.04,100,6.892967212479562e-05,2.5279847250203602e-05
0.06,20,0.0007345108315348625,0.0004482426738832146
0.06,40,0.00014290692342910916,0.00010340700828237459
0.06,60,6.622588261961937e-05,3.641914372565225e-05
0.06,80,5.6977976782945916e-05,2.2797565179644153e-05
0.06,100,5.312662324286066e-05,1.6228339518420398e-05
0.08,20,0.00022736145183444023,0.00015268508286681026
0.08,40,4.153316331212409e-05,1.629194593988359e-05
0.08,60,3.016994560312014e-05,8.207709470298141e-06
0.08,80,2.824275907187257e-05,8.777385119174141e-06
0.08,100,3.030120387848001e-05,9.65409981290577e-06
0.12,20,0.0002071128983516246,0.00017127167666330934
0.12,40,3.9653124986216426e-05,1.2619332665053662e-05
0.12,60,3.2822306820889935e-05,1.0167571417696308e-05
0.12,80,3.216656841686927e-05,8.381523002753966e-06
0.12,100,3.488641232252121e-05,9.214011697622482e-06
0.2,20,0.0001037089605233632,6.453030800912529e-05
0.2,40,3.1679272069595754e-05,1.0391361684014555e-05
0.2,60,2.3977843738975935e-05,6.18818467046367e-06
0.2,80,2.4366063371417113e-05,4.6661375563417096e-06
0.2,100,2.4501150619471446e-05,4.909763447358273e-06
0.3,20,0.00023100465477909893,0.00024479188141413033
0.3,40,4.746381091536023e-05,3.130960249109194e-05
0.3,60,2.5342120352433994e-05,6.2865856307325885e-06
0.3,80,2.431909342703875e-05,3.880743406625697e-06
0.3,100,2.9354016078286804e-05,8.60653290146729e-06
