n_agents,mse,relative_mse
15,0.008497110567986965,344.0089164704909
20,0.003481328021734953,140.94295596757448
30,0.002470026258379221,100.0
40,0.002015775768086314,81.60948739909443
50,0.0016859357710927725,68.25578332916379
60,0.0014779758639633656,59.8364433960788
70,0.0013118048664182425,53.10894416478881
80,0.0011833556927740574,47.90862804634921
90,0.0010827949736267328,43.83738715139166
100,0.00100214802660048,40.572363277549464
120,0.0008879108354449272,35.94742494873538
150,0.0007593788322992623,30.743755444832825
180,0.0006725178682245314,27.22715460789568
