n_agents,mse,relative_mse
15,0.008497110567986965,344.0066790143345
20,0.0034813277889043093,140.94202983932794
30,0.002470042323693633,100.0
40,0.002015775768086314,81.6089566057305
50,0.0016859356546774507,68.2553346760613
60,0.0014779686462134123,59.83576200440561
70,0.0013118048664182425,53.10859874079428
80,0.001183334388770163,47.90745395004558
90,0.001082794857211411,43.83709731711113
100,0.0010021046036854386,40.570341409653224
120,0.0008879107772372663,35.947188787822434
150,0.0007593786576762795,30.743548415831423
180,0.0006725288112647831,27.227420551203434
200,0.0006294295308180153,25.48254031035322
250,0.0005430769524537027,21.986544410364615
300,0.0004857860039919615,19.667112556416868
