n_agents,mse,relative_mse
2,0.444383829832077,34289.939122600095
5,0.010941676795482635,844.2913671229702
10,0.0021454377565532923,165.54817057888775
15,0.001887497608549893,145.64476415734163
20,0.0014621192822232842,112.82134454883621
30,0.001295959809795022,100.0
40,0.0011966449674218893,92.33658006810866
50,0.0010362297762185335,79.95848084073154
60,0.0009537010337226093,73.59032483217618
70,0.0009374369401484728,72.33534042207252
80,0.0009160111658275127,70.68206582520452
90,0.0009335187496617436,72.03300153338826
100,0.0015187057433649898,117.18771923993529
120,0.002693824702873826,207.8632903978635
140,0.004281993024051189,330.41094266098105
160,0.012920291163027287,996.9669634331367
180,0.004349761642515659,335.6401648908887
