Model,Agents,MSE,Std,Scenario
baseline,20,0.0023107617162168026,0.0007423940114676952,u0.0_z0.0
low_noise,20,0.00046203075908124447,5.623175093205646e-05,u0.0_z0.0
medium_noise,20,0.0005816956982016563,3.028166588592285e-07,u0.0_z0.0
high_noise,20,0.0010434625437483191,1.1748569761493854e-07,u0.0_z0.0
baseline,30,0.005509812850505114,0.0015300631057471037,u0.0_z0.0
low_noise,30,9.855439566308632e-05,1.168361677628127e-06,u0.0_z0.0
medium_noise,30,0.00011042984260711819,6.949181852178299e-08,u0.0_z0.0
high_noise,30,0.0013994603650644422,2.9420297664728423e-07,u0.0_z0.0
baseline,35,0.008483520708978176,0.0019367949571460485,u0.0_z0.0
low_noise,35,0.0002982296282425523,6.860934081487358e-05,u0.0_z0.0
medium_noise,35,0.0001917519693961367,5.77531054091196e-08,u0.0_z0.0
high_noise,35,0.0015153035055845976,3.219656355213374e-05,u0.0_z0.0
baseline,40,0.011875945143401623,0.001681700348854065,u0.0_z0.0
low_noise,40,0.0007265667663887143,0.0002534586819820106,u0.0_z0.0
medium_noise,40,0.00015372171765193343,4.4601129900456726e-08,u0.0_z0.0
high_noise,40,0.0018408193718641996,0.0002567030896898359,u0.0_z0.0
baseline,45,0.017535889521241188,0.002033988479524851,u0.0_z0.0
low_noise,45,0.0013965024845674634,0.0005047700833529234,u0.0_z0.0
medium_noise,45,0.00019600935047492385,8.641664805963956e-08,u0.0_z0.0
high_noise,45,0.0024032469373196363,0.0003746534348465502,u0.0_z0.0
baseline,50,0.022561468183994293,0.002131394576281309,u0.0_z0.0
low_noise,50,0.0017580627463757992,0.0006787146558053792,u0.0_z0.0
medium_noise,50,0.0002204065676778555,3.451765451245592e-07,u0.0_z0.0
high_noise,50,0.0032402663491666317,0.0005525851738639176,u0.0_z0.0
