Domain Size (L),Grid Size (N),Agent Density,Agent Count,MSE,Std
22.0,128,0.5,11,9.229523243448057e-07,1.080309841583471e-09
22.0,128,1.0,22,0.0005726853851228952,4.306806658860296e-06
22.0,128,1.5,33,0.006132005248218775,0.0006855742540210485
22.0,128,2.0,44,0.01292235404253006,0.0014652357203885913
22.0,128,3.0,66,0.028025859966874123,0.004343981854617596
32.0,256,0.5,16,1.0487983672646806e-06,6.096743554451223e-09
32.0,256,1.0,32,0.00057507015299052,5.122176844452042e-06
32.0,256,1.5,48,0.006177931558340788,0.0005408931756392121
32.0,256,2.0,64,0.013864601030945778,0.0003891261585522443
32.0,256,3.0,96,0.03145058825612068,0.0024743725080043077
50.0,512,0.5,25,1.6667553381921607e-06,5.534818825481125e-08
50.0,512,1.0,50,0.0005260980105958879,8.287474338430911e-05
50.0,512,1.5,75,0.005991777870804071,0.00036789337173104286
50.0,512,2.0,100,0.012419196777045727,0.0010914936428889632
50.0,512,3.0,150,0.03188582882285118,0.0019677537493407726
100.0,1024,0.5,50,1.793410660866357e-06,4.7450267715021255e-08
100.0,1024,1.0,100,0.000515020452439785,5.2286912250565365e-05
100.0,1024,1.5,150,0.005859504919499159,0.0002585857000667602
100.0,1024,2.0,200,0.012570391409099102,0.0005844391416758299
100.0,1024,3.0,300,0.031341303139925,0.0009843313600867987
200.0,2048,0.5,100,1.761566295499506e-06,3.7060434721070123e-08
200.0,2048,1.0,200,0.0005121561698615551,3.4992583096027374e-05
200.0,2048,1.5,300,0.005777427460998297,0.00021062868472654372
200.0,2048,2.0,400,0.012534714303910732,0.00043790866038762033
200.0,2048,3.0,600,0.030284253880381584,0.001067558885551989
