Model,Agents,MSE,Std,Scenario
baseline,20,9.085325700652902e-07,8.773789694771494e-09,u0.0_z0.0
low_noise,20,1.0082575272463146e-06,7.055292794433399e-09,u0.0_z0.0
medium_noise,20,1.3803200999973342e-06,7.011832892089842e-09,u0.0_z0.0
high_noise,20,1.0040172128356062e-05,1.7084632375485853e-08,u0.0_z0.0
baseline,30,1.352809135823918e-06,5.164362164578051e-07,u0.0_z0.0
low_noise,30,1.05610047285154e-06,6.9461205676191184e-09,u0.0_z0.0
medium_noise,30,1.4294532775238622e-06,8.278396634864293e-09,u0.0_z0.0
high_noise,30,1.0154223673453089e-05,4.9555659131783614e-08,u0.0_z0.0
baseline,35,0.0015409647021442652,7.380675378954038e-05,u0.0_z0.0
low_noise,35,1.1204157317479257e-06,1.0363768510046611e-08,u0.0_z0.0
medium_noise,35,1.506192347733304e-06,9.142555157382048e-09,u0.0_z0.0
high_noise,35,1.0177239346376155e-05,1.477634015145668e-07,u0.0_z0.0
baseline,40,0.003201985266059637,0.00026735503342933953,u0.0_z0.0
low_noise,40,1.167536311186268e-06,3.3975858571011486e-08,u0.0_z0.0
medium_noise,40,1.5560666497549391e-06,1.1718313430719718e-08,u0.0_z0.0
high_noise,40,0.0011111926287412643,0.00014483237464446574,u0.0_z0.0
baseline,45,0.005007688421756029,0.0004082239174749702,u0.0_z0.0
low_noise,45,0.001708522206172347,0.00017234281403943896,u0.0_z0.0
medium_noise,45,1.6620300584690995e-06,1.9157532449298742e-08,u0.0_z0.0
high_noise,45,0.0032445143442600965,0.0003148042887914926,u0.0_z0.0
baseline,50,0.005888151004910469,0.0005897373775951564,u0.0_z0.0
low_noise,50,0.003675369545817375,0.0005414232145994902,u0.0_z0.0
medium_noise,50,0.00040862514288164675,0.00010539263166720048,u0.0_z0.0
high_noise,50,0.005296518560498953,0.000629401532933116,u0.0_z0.0
