n_agents,mse,relative_mse
15,2.3760309886711186e-06,99.75025530117809
20,2.439397803755128e-06,102.41051352692945
25,2.368277000641683e-06,99.42472828186465
30,2.3819798570912097e-06,100.0
40,2.440867137920577e-06,102.47219894215556
50,2.5035245016624684e-06,105.10267306456926
60,2.5747922336449847e-06,108.09462666024518
80,2.6725768293545114e-06,112.19980813012285
85,2.6941096166410717e-06,113.10379508964547
90,2.7255668101133778e-06,114.42442730988265
100,0.00033127624192275107,13907.600475148183
