Sensor Range,Agents,MSE,Std
2,20,8.1592236256256e-07,4.448475875856728e-12
2,25,8.867355063557625e-07,3.4619555486226083e-12
2,30,9.688108093541814e-07,7.54435316302482e-12
2,35,1.0647034969224478e-06,7.015113750313828e-12
2,40,1.0752279422376887e-06,7.93574841256861e-12
2,45,1.164145942311734e-06,3.120722777416596e-11
2,50,0.0021797826047986746,5.361453440855257e-05
5,20,6.224559570000565e-07,8.72467788119724e-13
5,25,6.500896461147931e-07,1.4988996372214403e-12
5,30,7.424604291372816e-07,9.416125648295526e-13
5,35,8.423685358138755e-07,2.4712835944296074e-12
5,40,8.653427130411728e-07,3.684041353230194e-12
5,45,0.0008121652062982321,2.1639059468725463e-06
5,50,0.005661813076585531,2.726527782215271e-05
10,20,6.008307877891639e-07,1.2730641194003134e-12
10,25,6.174752229526348e-07,2.0777650433512207e-12
10,30,7.32090256860829e-07,1.8294044664551867e-12
10,35,8.533736490790034e-07,3.5175100679407656e-12
10,40,9.315232318840572e-07,1.312899355204733e-11
10,45,0.0029128033202141523,1.8823910068022087e-05
10,50,0.007663560565561056,1.1832817108370364e-05
20,20,3.472151774985832e-07,9.48254929439285e-13
20,25,3.441100488998927e-07,9.054266125914368e-13
20,30,4.296622080346424e-07,1.1167597879432889e-12
20,35,5.142417194292648e-07,1.0238760794062385e-12
20,40,5.796217692477512e-07,4.107407990117107e-12
20,45,0.0033339124638587236,4.36010341218207e-05
20,50,0.00801137089729309,0.0001762900938047096
50,20,2.420436260308634e-07,7.403078258923224e-13
50,25,2.299475880818136e-07,8.148732882039267e-13
50,30,2.877425231417874e-07,8.142211948072853e-13
50,35,3.3491508588667784e-07,1.0136473908503585e-12
50,40,3.951055873585574e-07,2.0285216648791016e-12
50,45,4.765243772908434e-07,8.540629141406963e-12
50,50,0.0018656402826309204,6.952646799618378e-05
100,20,3.809849715707969e-07,4.962987486256676e-13
100,25,4.599330623022979e-07,6.03692117996657e-13
100,30,6.521213435917161e-07,6.583537968257724e-13
100,35,8.173408900802315e-07,1.2151469067078757e-12
100,40,1.0241867585136788e-06,1.7975467034997417e-12
100,45,0.0013763820752501488,2.1964800907881e-05
100,50,0.0036621280014514923,1.4741764061909635e-05
