n_agents,model,enstrophy,effort,relative_error
36,Baseline,35.318040307827324,321.63576744719546,211.09773948272243
36,MAPPO,37.724905264394614,447.06305413922047,204.70906202636806
36,MATD3,37.98946742582353,444.9508526524689,200.8828060376364
64,Baseline,16.730657748572423,306.5175629546368,100.0
64,MAPPO,18.428546782914456,404.5371853773677,100.0
64,MATD3,18.911258845471327,390.79494323180404,100.0
81,Baseline,10.787376962532887,310.7740866357097,64.47670572577066
81,MAPPO,13.003677513347423,409.09853342131674,70.56268552549918
81,MATD3,12.996090127859025,354.8227690148289,68.72144384492519
100,Baseline,6.850017496029852,363.31147805395324,40.94290612462229
100,MAPPO,8.114790571081953,413.79421655352223,44.03380617404606
100,MATD3,9.098042252449115,312.9632289582707,48.1091307923577
121,Baseline,5.00566896055623,560.0297422759843,29.919140273988027
121,MAPPO,5.639459170210923,432.24557250643704,30.601757353105018
121,MATD3,7.266290678072016,276.4129996410853,38.42309355208298
144,Baseline,3.0691424775976595,836.7841214369755,18.344422100556926
144,MAPPO,3.0728914058153305,448.94287613539984,16.67462682767955
144,MATD3,6.321857596721614,239.98857541508264,33.42906809313494
196,Baseline,2.4656835444910863,1070.7538132654215,14.73751708716578
196,MAPPO,1.6691712035269883,814.46025785895,9.057530271863415
196,MATD3,6.480562953571547,183.5369702785443,34.26827905284288
256,Baseline,2.7740582465935093,1163.029051933626,16.580688507779744
256,MAPPO,1.9347761091379407,2193.889486710426,10.498799129032344
256,MATD3,6.848395562120454,142.34410887520147,36.21332465533059
324,Baseline,2.9997442401531917,1261.9884147049845,17.929625273753217
324,MAPPO,3.3164027883950347,2849.2089496923004,17.9960081902375
324,MATD3,6.984856963379336,118.56634861368886,36.93491279694476
400,Baseline,3.648640345245564,1343.8208660129762,21.808110595991913
400,MAPPO,5.227937824783345,3301.4261933382695,28.368692802355366
400,MATD3,7.234678821967816,98.59027061925481,38.25593463176727
